frame,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0
1,10.414213562373096,10.828427124746192,0.0,13.485281374238571,20.899494936611667,15.656854249492381,14.899494936611667,0.0,0.0,0.0,10.485281374238571,16.656854249492383,21.485281374238575,0.0,15.071067811865477,44.14213562373095,48.14213562373095,0.0,0.0,0.0,27.313708498984766,26.485281374238575,0.0,40.97056274847715,38.55634918610404,0.0,53.45584412271572,0.0,41.21320343559641,31.970562748477146,20.48528137423857,30.55634918610405,14.071067811865477,23.071067811865476,0.0,52.14213562373096
6,50.21320343559643,68.62741699796952,0.0,0.0,0.0,41.627416997969526,0.0,14.65685424949238,21.313708498984763,17.72792206135786,47.21320343559643,16.313708498984763,0.0,0.0,16.48528137423857,27.071067811865476,48.55634918610405,32.31370849898477,29.727922061357862,27.242640687119287,14.242640687119286,13.242640687119286,23.72792206135786,89.49747468305834,17.071067811865476,0.0,37.970562748477136,0.0,48.11269837220807,30.55634918610405,0.0,0.0,0.0,24.071067811865476,16.242640687119287,0.0
11,0.0,23.07106781186548,65.2842712474619,14.656854249492381,0.0,32.55634918610405,33.55634918610404,71.35533905932738,17.899494936611667,0.0,0.0,17.899494936611667,13.899494936611667,0.0,55.798989873223334,50.14213562373095,28.656854249492383,0.0,77.94112549695427,0.0,27.485281374238575,21.485281374238575,31.313708498984763,26.55634918610405,12.071067811865476,28.72792206135786,79.2842712474619,16.899494936611667,0.0,22.142135623730955,55.69848480983501,15.656854249492381,20.485281374238575,34.72792206135786,16.242640687119287,12.414213562373096
16,42.38477631085024,38.485281374238575,0.0,0.0,0.0,14.65685424949238,0.0,14.313708498984763,65.698484809835,15.656854249492381,43.041630560342625,27.14213562373095,11.071067811865476,0.0,54.38477631085024,48.14213562373095,10.414213562373096,21.414213562373096,26.82842712474619,0.0,39.14213562373095,0.0,39.38477631085024,0.0,19.72792206135786,52.87005768508881,0.0,18.142135623730955,25.313708498984766,11.656854249492381,39.213203435596434,18.48528137423857,22.899494936611667,16.242640687119287,13.414213562373096,14.414213562373096
21,24.485281374238575,16.82842712474619,60.45584412271572,0.0,0.0,48.627416997969526,21.07106781186548,16.48528137423857,29.72792206135786,0.0,41.97056274847714,12.071067811865476,0.0,11.071067811865476,0.0,15.242640687119287,22.07106781186548,0.0,62.38477631085023,43.899494936611674,0.0,0.0,0.0,14.485281374238573,13.485281374238571,19.071067811865476,0.0,0.0,16.899494936611667,16.48528137423857,26.55634918610405,30.55634918610405,13.65685424949238,32.89949493661167,0.0,46.97056274847714
26,0.0,0.0,31.485281374238575,12.242640687119286,19.899494936611667,0.0,15.485281374238571,0.0,11.071067811865476,14.242640687119286,20.48528137423857,28.14213562373095,45.31370849898476,0.0,0.0,14.242640687119287,21.071067811865476,0.0,10.0,67.21320343559641,89.1126983722081,15.071067811865476,12.071067811865476,25.55634918610405,15.899494936611667,14.727922061357859,0.0,0.0,44.87005768508881,0.0,13.485281374238571,14.071067811865477,34.72792206135786,36.72792206135786,0.0,39.72792206135786
31,0.0,0.0,0.0,0.0,15.656854249492381,31.970562748477146,37.38477631085024,11.071067811865476,15.899494936611667,17.656854249492383,18.72792206135786,0.0,0.0,22.899494936611667,27.72792206135786,21.48528137423857,30.07106781186548,41.55634918610404,26.07106781186548,41.72792206135786,13.65685424949238,45.97056274847714,0.0,12.656854249492381,21.72792206135786,0.0,31.38477631085024,47.45584412271569,23.142135623730955,12.071067811865476,24.48528137423857,0.0,64.28427124746192,0.0,13.414213562373096,21.82842712474619
36,48.38477631085024,0.0,15.656854249492383,19.07106781186548,17.48528137423857,74.35533905932738,0.0,16.656854249492383,0.0,12.899494936611667,34.97056274847715,41.21320343559643,15.485281374238573,0.0,72.45584412271572,56.21320343559643,44.55634918610405,11.0,0.0,28.656854249492383,0.0,39.55634918610404,17.242640687119287,0.0,42.041630560342625,0.0,0.0,17.48528137423857,52.526911934581165,50.04163056034262,29.48528137423857,0.0,0.0,44.97056274847714,0.0,16.242640687119284
41,0.0,22.071067811865476,10.828427124746192,0.0,0.0,0.0,47.213203435596434,0.0,12.485281374238571,14.485281374238573,49.52691193458119,0.0,12.071067811865477,0.0,0.0,20.48528137423857,0.0,0.0,52.31370849898476,28.48528137423857,47.97056274847714,38.21320343559643,0.0,29.38477631085024,17.656854249492383,0.0,36.21320343559643,11.071067811865476,0.0,43.04163056034262,0.0,63.1126983722081,20.48528137423857,0.0,11.414213562373096,15.828427124746192
46,0.0,26.72792206135786,50.55634918610405,0.0,16.48528137423857,15.071067811865477,27.38477631085024,0.0,0.0,0.0,42.627416997969526,50.2842712474619,14.485281374238573,0.0,0.0,0.0,22.07106781186548,16.656854249492383,0.0,39.071067811865476,52.14213562373095,29.899494936611667,22.071067811865476,0.0,37.627416997969526,47.87005768508881,40.79898987322332,0.0,23.48528137423857,14.071067811865477,12.071067811865476,84.42640687119285,52.798989873223334,12.242640687119286,0.0,40.14213562373095
