frame,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0
1,10.414213562373096,10.828427124746192,0.0,13.485281374238571,20.899494936611667,15.656854249492381,14.899494936611667,0.0,0.0,0.0,10.485281374238571,16.656854249492383,21.485281374238575,0.0,15.071067811865477,22.071067811865476,24.071067811865476,0.0,0.0,0.0,27.313708498984766,13.242640687119287,0.0,20.485281374238575,19.27817459305202,0.0,17.818614707571907,0.0,41.21320343559641,31.970562748477146,20.48528137423857,15.278174593052025,14.071067811865477,11.535533905932738,0.0,17.380711874576985
6,25.106601717798213,22.87580566598984,0.0,0.0,0.0,20.813708498984763,0.0,14.65685424949238,21.313708498984763,17.72792206135786,15.737734478532142,16.313708498984763,0.0,0.0,16.48528137423857,27.071067811865476,24.278174593052025,16.156854249492383,29.727922061357862,13.621320343559644,14.242640687119286,13.242640687119286,23.72792206135786,17.899494936611667,17.071067811865476,0.0,37.970562748477136,0.0,48.11269837220807,30.55634918610405,0.0,0.0,0.0,24.071067811865476,16.242640687119287,0.0
11,0.0,23.07106781186548,16.321067811865476,14.656854249492381,0.0,16.278174593052025,16.77817459305202,23.785113019775793,17.899494936611667,0.0,0.0,17.899494936611667,13.899494936611667,0.0,27.899494936611667,16.714045207910317,14.328427124746192,0.0,25.980375165651424,0.0,27.485281374238575,21.485281374238575,15.656854249492381,26.55634918610405,12.071067811865476,28.72792206135786,26.428090415820634,16.899494936611667,0.0,22.142135623730955,18.566161603278335,15.656854249492381,20.485281374238575,17.36396103067893,16.242640687119287,12.414213562373096
16,21.19238815542512,19.242640687119287,0.0,0.0,0.0,14.65685424949238,0.0,14.313708498984763,32.8492424049175,15.656854249492381,21.520815280171313,13.571067811865476,11.071067811865476,0.0,27.19238815542512,24.071067811865476,10.414213562373096,10.707106781186548,26.82842712474619,0.0,13.047378541243651,0.0,19.69238815542512,0.0,19.72792206135786,26.435028842544405,0.0,18.142135623730955,25.313708498984766,11.656854249492381,19.606601717798217,18.48528137423857,22.899494936611667,16.242640687119287,13.414213562373096,14.414213562373096
21,24.485281374238575,16.82842712474619,20.15194804090524,0.0,0.0,24.313708498984763,21.07106781186548,16.48528137423857,14.86396103067893,0.0,13.990187582825714,12.071067811865476,0.0,11.071067811865476,0.0,15.242640687119287,22.07106781186548,0.0,20.794925436950077,21.949747468305837,0.0,0.0,0.0,14.485281374238573,13.485281374238571,19.071067811865476,0.0,0.0,16.899494936611667,16.48528137423857,13.278174593052025,30.55634918610405,13.65685424949238,16.449747468305834,0.0,23.48528137423857
26,0.0,0.0,15.742640687119287,12.242640687119286,19.899494936611667,0.0,15.485281374238571,0.0,11.071067811865476,14.242640687119286,20.48528137423857,14.071067811865476,22.65685424949238,0.0,0.0,14.242640687119287,21.071067811865476,0.0,10.0,33.606601717798206,17.82253967444162,15.071067811865476,12.071067811865476,25.55634918610405,15.899494936611667,14.727922061357859,0.0,0.0,22.435028842544405,0.0,13.485281374238571,14.071067811865477,17.36396103067893,18.36396103067893,0.0,39.72792206135786
31,0.0,0.0,0.0,0.0,15.656854249492381,31.970562748477146,18.69238815542512,11.071067811865476,15.899494936611667,17.656854249492383,18.72792206135786,0.0,0.0,11.449747468305834,13.86396103067893,21.48528137423857,30.07106781186548,41.55634918610404,26.07106781186548,20.86396103067893,13.65685424949238,15.323520916159048,0.0,12.656854249492381,21.72792206135786,0.0,15.69238815542512,47.45584412271569,23.142135623730955,12.071067811865476,12.242640687119286,0.0,21.428090415820638,0.0,13.414213562373096,10.914213562373096
36,24.19238815542512,0.0,15.656854249492383,19.07106781186548,17.48528137423857,37.17766952966369,0.0,16.656854249492383,0.0,12.899494936611667,17.485281374238575,20.606601717798213,15.485281374238573,0.0,24.15194804090524,18.737734478532143,14.852116395368016,11.0,0.0,28.656854249492383,0.0,19.77817459305202,17.242640687119287,0.0,21.020815280171313,0.0,0.0,17.48528137423857,52.526911934581165,25.02081528017131,29.48528137423857,0.0,0.0,14.990187582825714,0.0,16.242640687119284
41,0.0,22.071067811865476,10.828427124746192,0.0,0.0,0.0,15.737734478532145,0.0,12.485281374238571,14.485281374238573,16.508970644860398,0.0,12.071067811865477,0.0,0.0,20.48528137423857,0.0,0.0,17.43790283299492,28.48528137423857,15.990187582825714,38.21320343559643,0.0,14.69238815542512,17.656854249492383,0.0,36.21320343559643,11.071067811865476,0.0,14.347210186780872,0.0,21.037566124069368,20.48528137423857,0.0,11.414213562373096,15.828427124746192
46,0.0,26.72792206135786,25.278174593052025,0.0,16.48528137423857,15.071067811865477,13.69238815542512,0.0,0.0,0.0,21.313708498984763,16.761423749153966,14.485281374238573,0.0,0.0,0.0,22.07106781186548,16.656854249492383,0.0,19.535533905932738,17.380711874576985,14.949747468305834,22.071067811865476,0.0,18.813708498984763,23.935028842544405,40.79898987322332,0.0,23.48528137423857,14.071067811865477,12.071067811865476,16.88528137423857,17.599663291074446,12.242640687119286,0.0,13.380711874576983
