length,contour_length,vertical_heights,angles
10,11.656854249492381,4,135.0
10,12.071067811865477,3,149.03624346792648
10,11.656854249492381,2,137.72631099390625
10,11.242640687119286,1,153.434948822922
10,10.414213562373096,1,153.434948822922
10,10.828427124746192,0,153.434948822922
10,10.828427124746192,0,156.50143432404792
10,12.242640687119287,4,143.13010235415598
10,12.071067811865476,5,152.65012421993015
10,11.242640687119286,3,147.52880770915152
10,11.656854249492381,4,160.3461759419467
10,12.656854249492381,5,135.0
10,11.656854249492381,4,160.3461759419467
10,11.65685424949238,4,153.434948822922
10,10.82842712474619,2,161.565051177078
11,13.656854249492381,5,135.0
11,13.485281374238571,4,142.12501634890182
11,13.071067811865477,3,135.0
11,12.242640687119286,1,161.565051177078
11,11.414213562373096,1,161.565051177078
11,11.828427124746192,0,154.44003482817618
11,11.828427124746192,0,157.83365417791757
11,13.242640687119287,4,142.12501634890182
11,13.071067811865477,5,150.80251395393555
11,12.242640687119286,3,146.30993247402023
11,12.656854249492381,4,158.4985656759521
11,13.656854249492381,5,133.26429541107163
11,12.656854249492381,4,164.74488129694222
11,12.656854249492381,4,164.74488129694222
11,11.82842712474619,2,164.05460409907712
12,14.656854249492381,5,140.19442890773482
12,15.485281374238573,5,142.12501634890182
12,14.485281374238571,4,135.0
12,13.65685424949238,0,158.83874018317172
12,12.414213562373096,1,165.96375653207352
12,12.828427124746192,0,155.22485943116806
12,12.828427124746192,0,158.83874018317172
12,14.242640687119287,4,141.34019174590992
12,14.071067811865477,5,149.4702941000659
12,13.242640687119287,3,166.32869286780416
12,13.656854249492381,4,157.16634582208246
12,14.656854249492381,5,131.82016988013575
12,13.656854249492381,4,168.11134196037202
12,13.656854249492381,4,162.89727103094762
12,13.242640687119286,3,159.44395478041653
13,15.656854249492381,5,144.46232220802563
13,16.485281374238575,5,148.46520809481174
13,15.485281374238571,4,136.6846843178963
13,14.656854249492381,0,159.6235647861636
13,13.414213562373096,1,168.6900675259798
13,13.828427124746192,0,155.85445803957836
13,14.242640687119286,1,135.0
13,15.242640687119287,4,140.71059313749967
13,15.071067811865477,5,148.46520809481174
13,14.242640687119287,3,165.32360686255004
13,14.656854249492381,4,156.1612598168283
13,15.656854249492381,5,130.6012946450045
13,14.656854249492381,4,158.1985905136482
13,14.656854249492381,4,161.565051177078
13,14.242640687119286,3,161.565051177078
14,16.656854249492383,5,147.9946167919165
14,17.48528137423857,5,153.43494882292202
14,16.48528137423857,4,139.63546342690267
14,15.656854249492381,0,160.2531633945739
14,14.414213562373096,1,170.5376777919744
14,14.828427124746192,0,156.37062226934316
14,15.242640687119286,1,153.434948822922
14,16.242640687119287,4,140.19442890773482
14,16.071067811865476,5,147.6803834918198
14,15.242640687119287,3,164.53878225955808
14,16.071067811865476,5,161.565051177078
14,16.656854249492383,5,129.5596679689945
14,15.656854249492383,4,158.1985905136482
14,15.656854249492381,4,160.55996517182382
14,15.242640687119287,3,163.30075576600638
15,18.071067811865476,4,142.12501634890182
15,18.48528137423857,5,157.3801350519596
15,17.48528137423857,4,142.12501634890182
15,17.071067811865476,1,148.24051991518718
15,15.828427124746192,0,164.19748604606448
15,15.828427124746192,0,156.80140948635182
15,16.65685424949238,0,160.76932762433873
15,17.242640687119287,4,139.76364169072622
15,17.071067811865476,5,147.05078488340956
15,16.242640687119287,3,163.90918365114786
15,17.48528137423857,4,154.74683660542613
15,17.65685424949238,5,153.434948822922
15,16.656854249492383,4,158.19859051364818
15,16.656854249492383,4,159.77514056883192
15,16.242640687119287,3,164.74488129694222
16,19.071067811865476,4,143.9726266148964
16,19.48528137423857,5,155.55604521958347
16,18.899494936611667,3,148.7069610040798
16,18.48528137423857,2,143.84181456019166
16,17.242640687119287,1,130.91438322002512
16,17.242640687119287,1,135.0
16,18.07106781186548,1,130.91438322002512
16,18.242640687119287,4,139.39870535499554
16,18.071067811865476,5,146.5346206536447
16,17.242640687119287,3,163.3007557660064
16,18.48528137423857,4,154.23067237566127
16,18.65685424949238,5,153.434948822922
16,17.656854249492383,4,158.1985905136482
16,17.65685424949238,4,158.1985905136482
16,17.242640687119287,3,165.96375653207355
17,20.071067811865476,4,145.30484646876602
17,20.89949493661167,4,146.09372301155787
17,19.899494936611667,3,150.2551187030578
17,19.899494936611667,3,141.1155035662854
17,18.656854249492383,2,130.91438322002512
17,18.656854249492383,2,135.0
17,19.48528137423857,2,130.91438322002512
17,19.242640687119287,4,139.08561677997488
17,19.07106781186548,5,146.1038334366361
17,18.242640687119287,3,163.30075576600638
17,19.48528137423857,4,153.79988515865267
17,19.656854249492383,5,153.434948822922
17,18.656854249492383,4,158.19859051364818
17,18.65685424949238,4,158.19859051364818
17,18.242640687119287,3,165.96375653207355
18,21.071067811865476,4,146.30993247402023
18,21.89949493661167,4,147.4259428654275
18,20.899494936611667,3,152.1027289690524
18,21.313708498984763,4,139.26789330029084
18,20.071067811865476,3,130.91438322002512
18,20.07106781186548,3,135.0
18,20.48528137423857,2,139.04448557418112
18,20.242640687119287,4,138.81407483429035
18,20.071067811865476,5,145.73889710090543
18,19.242640687119287,3,163.30075576600638
18,20.485281374238575,4,153.434948822922
18,20.656854249492383,5,153.434948822922
18,19.656854249492383,4,158.1985905136482
18,19.65685424949238,4,158.1985905136482
18,19.242640687119287,3,165.96375653207352
19,22.071067811865476,4,147.0947570770121
19,22.89949493661167,4,148.43102887068167
19,21.899494936611667,3,153.434948822922
19,22.313708498984763,4,142.8001878841817
19,21.48528137423857,4,130.91438322002512
19,21.485281374238575,4,135.0
19,21.899494936611667,3,137.25457496593503
19,21.656854249492383,3,135.0
19,21.071067811865476,5,145.4258085258848
19,20.242640687119287,3,163.30075576600638
19,21.485281374238575,4,149.03624346792648
19,21.656854249492383,5,153.434948822922
19,20.656854249492383,4,158.1985905136482
19,20.65685424949238,4,158.1985905136482
19,20.242640687119287,3,165.96375653207352
20,23.071067811865476,4,147.72435568542238
20,23.89949493661167,4,149.21585347367358
20,22.899494936611667,3,154.44003482817618
20,23.313708498984763,4,145.75096699318803
20,22.48528137423857,4,136.10881212775993
20,22.485281374238575,4,141.34019174590992
20,22.899494936611667,3,142.22431569404534
20,22.656854249492383,3,135.0
20,22.07106781186548,5,145.15426658020027
20,21.242640687119287,3,163.30075576600638
20,22.485281374238575,4,150.8838537339211
20,22.656854249492383,5,153.434948822922
20,21.656854249492383,4,158.19859051364818
20,21.65685424949238,4,158.19859051364818
20,21.242640687119287,3,165.96375653207355
21,24.071067811865476,4,148.2405199151872
21,24.89949493661167,4,149.84545208208382
21,23.899494936611667,3,155.22485943116806
21,24.313708498984763,4,148.2405199151872
21,23.48528137423857,4,140.37670542805074
21,23.485281374238575,4,146.30993247402023
21,23.899494936611667,3,146.1695019230829
21,23.656854249492383,3,153.0041616059134
21,23.07106781186548,5,144.91652612090726
21,22.242640687119287,3,163.30075576600638
21,23.485281374238575,4,152.2160735877907
21,23.65685424949238,5,153.434948822922
21,22.656854249492383,4,158.1985905136482
21,22.65685424949238,4,158.1985905136482
21,22.242640687119287,3,165.96375653207355
22,25.07106781186548,4,148.67130713219584
22,25.89949493661167,4,150.36161631184868
22,24.899494936611667,3,155.85445803957836
22,25.72792206135786,3,154.8224645703652
22,24.899494936611667,3,149.34933204294717
22,24.485281374238575,4,150.2551187030578
22,24.899494936611667,3,149.34933204294717
22,25.07106781186548,4,138.01278750418336
22,24.07106781186548,5,144.7066524093397
22,23.242640687119287,3,163.3007557660064
22,24.485281374238575,4,153.22115959304492
22,24.65685424949238,5,153.434948822922
22,23.656854249492383,4,158.1985905136482
22,23.65685424949238,4,158.1985905136482
22,23.242640687119287,3,165.96375653207355
23,26.485281374238575,3,144.6887865603668
23,26.89949493661167,4,150.79240352885728
23,25.899494936611667,3,156.37062226934316
23,26.72792206135786,3,156.37062226934316
23,25.899494936611667,3,151.95189424544697
23,25.485281374238575,4,153.434948822922
23,25.899494936611667,3,151.95189424544697
23,26.07106781186548,4,137.86240522611175
23,25.07106781186548,5,144.52002186577417
23,24.242640687119287,3,163.30075576600638
23,25.48528137423857,4,154.0059841960368
23,25.65685424949238,5,153.434948822922
23,24.656854249492383,4,158.1985905136482
23,24.65685424949238,4,158.1985905136482
23,24.242640687119287,3,165.96375653207352
24,27.485281374238575,3,145.30484646876602
24,27.89949493661167,4,151.15733986458793
24,26.899494936611667,3,156.80140948635182
24,27.72792206135786,3,157.7028421232128
24,26.899494936611667,3,154.1129737336733
24,26.485281374238575,4,156.03751102542185
24,26.89949493661167,3,154.1129737336733
24,27.07106781186548,4,137.72631099390625
24,26.07106781186548,5,144.35297925009328
24,25.242640687119287,3,163.30075576600638
24,26.48528137423857,4,154.63558280444704
24,26.65685424949238,5,153.434948822922
24,25.656854249492383,4,158.19859051364818
24,25.65685424949238,4,158.19859051364818
24,25.242640687119287,3,165.96375653207352
25,28.485281374238575,3,145.84030545433055
25,29.313708498984766,3,147.4259428654275
25,27.899494936611667,3,157.16634582208246
25,28.72792206135786,3,158.86017519134234
25,27.899494936611667,3,155.93127669812517
25,27.485281374238575,4,158.19859051364818
25,27.89949493661167,3,155.93127669812517
25,28.485281374238575,3,154.38451567935786
25,27.071067811865476,5,153.434948822922
25,26.242640687119287,3,163.30075576600638
25,27.48528137423857,4,155.1517470342119
25,27.65685424949238,5,153.434948822922
25,26.656854249492383,4,158.19859051364818
25,26.65685424949238,4,158.19859051364818
25,26.242640687119287,3,165.96375653207355
26,29.89949493661167,2,142.81529354676687
26,30.313708498984766,3,147.96140185099202
26,29.313708498984763,2,153.434948822922
26,29.72792206135786,3,159.87415391412765
26,28.899494936611667,3,157.47943439710312
26,28.485281374238575,4,160.0168934781
26,28.89949493661167,3,157.47943439710312
26,29.89949493661167,2,151.0735741647464
26,28.071067811865476,5,153.434948822922
26,27.242640687119287,3,163.30075576600638
26,28.48528137423857,4,155.5825342512205
26,28.65685424949238,5,153.434948822922
26,27.656854249492383,4,158.1985905136482
26,27.65685424949238,4,158.1985905136482
26,27.242640687119287,3,165.96375653207352
27,31.313708498984766,1,140.19442890773482
27,31.727922061357862,2,144.93638994342834
27,30.313708498984763,2,153.97040780848653
27,30.72792206135786,3,160.76932762433873
27,29.899494936611667,3,158.81165425097277
27,29.89949493661167,3,160.98632561147022
27,30.313708498984766,2,162.91976642810863
27,31.313708498984766,1,148.19061071220688
27,29.071067811865476,5,153.434948822922
27,28.656854249492383,2,159.93429510257656
27,29.48528137423857,4,155.94747058695114
27,29.65685424949238,5,153.434948822922
27,28.656854249492383,4,158.1985905136482
27,28.65685424949238,4,158.1985905136482
27,28.242640687119287,3,165.96375653207355
28,32.72792206135786,0,140.6923518838934
28,33.14213562373096,1,142.3155253043963
28,31.72792206135786,1,150.94539590092285
28,31.727922061357862,3,161.565051177078
28,30.899494936611667,3,159.9689873191023
28,30.89949493661167,3,161.7711502144621
28,31.313708498984766,2,163.81962614301304
28,32.72792206135786,0,146.77637356291282
28,30.48528137423857,4,150.25511870305778
28,29.656854249492383,2,160.12092564614215
28,30.485281374238575,4,156.2605591619718
28,30.65685424949238,5,153.434948822922
28,29.656854249492383,4,158.1985905136482
28,29.65685424949238,4,158.1985905136482
28,29.242640687119287,3,165.96375653207355
29,34.14213562373095,1,138.5447664555949
29,34.55634918610405,0,140.9905947179248
29,33.14213562373095,0,149.1231869209396
29,32.72792206135786,3,162.27676338311366
29,31.899494936611667,3,160.98296604188758
29,31.89949493661167,3,162.40074882287237
29,32.31370849898477,2,164.60445074600491
29,33.72792206135786,0,147.48808576894854
29,31.899494936611667,3,147.42594286542752
29,31.07106781186548,1,157.29174980851187
29,31.485281374238575,4,156.53210110765633
29,31.65685424949238,5,153.434948822922
29,30.656854249492383,4,158.19859051364818
29,30.65685424949238,4,158.19859051364818
29,30.242640687119287,3,165.96375653207352
30,35.14213562373095,1,139.79013072236324
30,35.55634918610404,0,141.85602405520532
30,34.55634918610404,1,146.63363399894044
30,33.72792206135786,3,162.70755060012232
30,32.89949493661167,3,161.87813975209866
30,32.89949493661167,3,162.9169130526372
30,33.72792206135786,3,161.87813975209866
30,34.72792206135786,0,148.12823543847205
30,33.31370849898477,2,144.9041832129739
30,32.071067811865476,1,157.59016262850673
30,32.89949493661167,3,153.22115959304492
30,33.071067811865476,4,150.57254359681025
30,31.656854249492383,4,158.19859051364818
30,31.656854249492383,4,158.19859051364818
30,31.242640687119287,3,165.96375653207355
31,36.14213562373095,1,140.9061411137705
31,36.55634918610404,0,142.63657221548885
31,35.97056274847714,2,144.512537602279
31,34.72792206135786,3,163.07248693585296
31,34.31370849898476,2,158.64901975234642
