X,Y,Degree
282,614,3
282,263,3
283,284,3
284,612,3
283,714,3
284,784,3
285,106,3
285,108,3
285,185,3
286,498,3
289,714,3
290,379,3
290,833,3
292,238,3
292,449,3
292,458,3
292,624,3
294,93,3
295,67,3
295,729,3
297,41,3
296,630,3
298,267,3
298,282,3
299,806,3
299,821,3
300,14,3
300,331,3
300,460,3
300,526,3
302,380,3
302,594,3
303,86,3
303,25,3
304,329,3
304,832,3
305,25,3
305,53,3
305,418,3
305,430,3
306,455,3
306,554,3
311,552,3
311,627,3
311,747,3
312,690,3
313,391,3
314,84,3
314,151,3
315,225,3
315,579,3
315,581,3
316,265,3
316,621,3
317,49,3
317,151,3
317,485,3
318,285,3
318,499,3
318,619,3
318,662,3
319,477,3
319,512,3
319,574,3
320,179,3
319,503,3
321,7,3
322,203,3
322,213,3
322,331,3
322,672,3
322,677,3
323,241,3
323,628,3
324,477,3
324,553,3
324,615,3
327,255,3
327,294,3
328,6,3
328,789,3
329,162,3
330,147,3
330,711,3
331,53,3
331,291,3
331,553,3
333,69,3
333,70,3
333,289,3
333,319,3
333,503,3
335,11,3
336,782,3
337,9,3
337,781,3
338,781,3
338,783,3
338,786,3
339,534,3
340,153,3
340,356,3
341,6,3
341,561,3
341,578,3
342,100,3
342,106,3
341,575,3
343,188,3
344,94,3
344,218,3
345,430,3
347,496,3
347,621,3
348,396,3
348,483,3
348,661,3
349,6,3
351,661,3
354,23,3
354,396,3
354,534,3
354,17,3
357,436,3
357,533,3
358,107,3
359,680,3
360,413,3
361,22,3
361,142,3
361,287,3
361,743,3
361,765,3
363,287,3
363,509,3
363,751,3
363,791,3
364,180,3
364,726,3
364,796,3
365,359,3
365,568,3
365,751,3
364,793,3
366,435,3
366,660,3
366,762,3
366,793,3
367,269,3
367,359,3
367,418,3
370,290,3
371,677,3
372,393,3
373,719,3
374,362,3
375,98,3
375,215,3
375,324,3
375,372,3
376,41,3
375,509,3
377,244,3
377,303,3
377,465,3
378,776,3
381,438,3
381,446,3
381,509,3
382,253,3
382,591,3
382,813,3
382,820,3
382,593,3
385,626,3
385,802,3
386,4,3
386,326,3
386,330,3
386,414,3
385,808,3
387,151,3
387,405,3
387,470,3
388,217,3
388,228,3
388,573,3
388,580,3
389,743,3
391,631,3
391,642,3
392,253,3
392,713,3
393,91,3
393,507,3
394,828,3
395,298,3
396,51,3
396,288,3
396,404,3
396,647,3
397,91,3
397,469,3
397,707,3
397,809,3
398,114,3
397,657,3
398,659,3
398,47,3
399,674,3
400,446,3
401,287,3
401,735,3
403,133,3
403,547,3
402,726,3
404,560,3
405,28,3
405,395,3
405,463,3
405,536,3
405,537,3
405,539,3
407,188,3
407,395,3
407,447,3
410,678,3
411,511,3
411,512,3
412,511,3
412,512,3
413,85,3
413,88,3
413,225,3
413,583,3
414,245,3
414,318,3
414,640,3
414,725,3
414,81,3
415,162,3
415,352,3
415,489,3
415,580,3
415,623,3
417,352,3
418,136,3
419,24,3
419,287,3
420,136,3
420,443,3
420,616,3
420,679,3
421,286,3
421,489,3
422,316,3
422,533,3
422,735,3
425,182,3
425,780,3
427,15,3
427,338,3
427,514,3
428,93,3
428,337,3
428,418,3
428,426,3
428,579,3
428,676,3
429,339,3
430,101,3
430,340,3
430,676,3
430,19,3
431,340,3
431,547,3
432,316,3
433,263,3
435,252,3
435,829,3
435,253,3
436,252,3
436,253,3
436,363,3
436,619,3
436,621,3
437,513,3
439,202,3
440,622,3
441,308,3
442,547,3
442,660,3
443,463,3
445,10,3
445,213,3
445,741,3
446,56,3
446,63,3
448,234,3
448,390,3
448,408,3
448,617,3
448,657,3
449,514,3
449,520,3
451,617,3
452,543,3
453,51,3
453,303,3
453,367,3
454,33,3
453,377,3
458,82,3
459,155,3
459,217,3
459,259,3
459,267,3
459,431,3
460,115,3
460,710,3
461,218,3
461,234,3
461,797,3
462,542,3
464,82,3
464,222,3
464,341,3
463,536,3
464,684,3
466,417,3
466,685,3
466,418,3
467,417,3
467,418,3
467,657,3
468,562,3
468,822,3
468,826,3
470,495,3
471,126,3
471,244,3
471,248,3
471,287,3
471,290,3
471,293,3
472,703,3
473,155,3
473,315,3
473,788,3
475,309,3
475,631,3
477,160,3
477,413,3
477,610,3
477,789,3
478,379,3
478,605,3
479,329,3
479,495,3
478,755,3
482,385,3
483,82,3
483,464,3
483,522,3
484,129,3
486,330,3
486,577,3
488,810,3
489,63,3
489,804,3
491,603,3
495,274,3
495,278,3
495,545,3
496,108,3
496,575,3
497,129,3
497,419,3
497,527,3
497,541,3
499,105,3
499,161,3
500,311,3
500,428,3
500,518,3
500,526,3
501,68,3
501,161,3
502,49,3
501,142,3
501,402,3
502,658,3
502,676,3
503,22,3
503,311,3
503,474,3
502,812,3
504,105,3
504,814,3
506,115,3
506,304,3
506,701,3
507,493,3
508,272,3
510,62,3
512,57,3
513,201,3
513,657,3
514,355,3
513,693,3
515,144,3
515,159,3
517,90,3
517,727,3
518,57,3
519,80,3
519,195,3
519,357,3
521,544,3
521,622,3
521,765,3
521,783,3
523,16,3
522,218,3
