X,Y,Degree
521,257,3
198,617,3
173,333,3
369,44,3
705,680,3
310,59,3
413,7,3
339,260,3
580,210,3
505,564,3
565,58,3
202,539,3
181,602,3
632,80,3
300,199,3
182,280,3
274,578,3
250,343,3
388,688,3
77,599,3
123,677,3
521,270,3
668,94,3
666,94,3
666,95,3
441,110,3
329,583,3
646,415,3
270,136,3
683,81,3
681,81,3
593,10,3
277,637,3
541,459,3
309,593,3
221,259,3
40,552,3
220,629,3
158,461,3
319,4,3
61,350,3
339,406,3
7,426,3
61,662,3
344,197,3
512,355,3
66,23,3
608,376,3
682,147,3
541,263,3
695,505,3
619,260,3
116,48,3
282,466,3
679,511,3
198,588,3
7,239,3
323,71,3
622,110,3
67,14,3
566,314,3
79,46,3
33,200,3
33,201,3
34,200,3
34,201,3
71,493,3
348,212,3
62,200,3
130,518,3
33,334,3
274,396,3
341,464,3
244,531,3
145,345,3
410,240,3
639,628,3
613,346,3
227,310,3
338,423,3
663,194,3
696,492,3
510,485,3
32,281,3
336,416,3
577,477,3
83,478,3
355,11,3
79,89,3
323,450,3
474,618,3
619,316,3
116,635,3
63,443,3
475,162,3
144,317,3
428,122,3
71,415,3
44,662,3
303,549,3
668,648,3
16,314,3
489,307,3
480,196,3
297,689,3
242,155,3
468,319,3
325,212,3
562,464,3
211,13,3
556,583,3
258,187,3
557,254,3
634,249,3
474,14,3
722,605,3
672,312,3
648,329,3
136,458,3
270,540,3
177,79,3
316,394,3
45,465,3
396,241,3
544,669,3
219,503,3
290,683,3
279,326,3
598,633,3
66,566,3
539,160,3
560,634,3
168,461,3
703,577,3
236,300,3
495,6,3
499,74,3
665,143,3
463,678,3
227,534,3
625,581,3
39,230,3
530,694,3
370,596,3
151,673,3
159,535,3
611,406,3
434,365,3
559,74,3
167,505,3
257,623,3
726,94,3
153,398,3
582,696,3
697,90,3
530,280,3
180,10,3
510,524,3
550,256,3
237,178,3
435,543,3
180,29,3
185,372,3
640,74,3
167,615,3
439,215,3
460,86,3
267,242,3
557,227,3
605,28,3
50,230,3
336,33,3
57,128,3
190,656,3
601,348,3
77,502,3
224,499,3
403,93,3
63,376,3
220,335,3
420,125,3
629,466,3
657,240,3
85,378,3
376,85,3
425,328,3
211,221,3
356,170,3
133,233,3
460,23,3
138,240,3
311,168,3
504,338,3
62,252,3
606,657,3
69,223,3
424,44,3
566,225,3
407,353,3
645,652,3
396,469,3
103,327,3
375,574,3
72,319,3
711,201,3
354,450,3
143,362,3
164,71,3
541,134,3
374,596,3
546,611,3
303,274,3
184,58,3
459,115,3
19,328,3
679,195,3
345,96,3
643,170,3
254,187,3
629,474,3
615,551,3
494,382,3
188,685,3
126,67,3
213,532,3
544,535,3
280,237,3
228,610,3
528,314,3
91,498,3
448,64,3
544,340,3
259,580,3
352,653,3
164,372,3
187,542,3
354,653,3
559,559,3
593,483,3
333,662,3
129,391,3
428,409,3
548,256,3
648,143,3
30,175,3
161,228,3
28,411,3
436,237,3
418,256,3
81,686,3
617,666,3
157,681,3
207,394,3
593,518,3
190,175,3
331,196,3
594,628,3
244,528,3
131,471,3
465,279,3
9,639,3
227,537,3
576,133,3
703,579,3
720,17,3
47,452,3
178,505,3
455,516,3
486,537,3
406,19,3
170,615,3
695,166,3
297,276,3
296,276,3
22,73,3
382,51,3
599,590,3
139,426,3
664,180,3
697,478,3
143,629,3
353,623,3
290,275,3
310,450,3
572,606,3
156,140,3
115,346,3
338,255,3
270,98,3
641,391,3
527,289,3
257,221,3
267,325,3
318,152,3
680,667,3
182,174,3
183,174,3
181,174,3
601,507,3
644,180,3
357,123,3
469,184,3
719,308,3
521,608,3
10,104,3
474,522,3
450,286,3
426,50,3
553,584,3
203,362,3
211,379,3
180,262,3
580,330,3
109,147,3
202,652,3
446,231,3
664,309,3
713,485,3
5,398,3
667,490,3
466,516,3
261,240,3
233,420,3
588,545,3
573,621,3
556,17,3
244,690,3
622,612,3
466,234,3
125,542,3
253,431,3
674,437,3
472,62,3
705,571,3
14,180,3
297,275,3
569,291,3
459,462,3
528,417,3
369,545,3
440,195,3
5,16,3
234,478,3
478,32,3
334,567,3
317,168,3
550,123,3
716,190,3
407,328,3
575,396,3
583,458,3
575,531,3
245,597,3
239,29,3
650,24,3
666,603,3
421,17,3
563,467,3
678,418,3
25,145,3
502,257,3
329,100,3
580,322,3
182,588,3
675,343,3
273,661,3
369,93,3
23,396,3
32,411,3
45,102,3
5,451,3
334,689,3
487,529,3
246,375,3
237,85,3
706,311,3
530,39,3
130,106,3
658,225,3
353,528,3
234,178,3
720,298,3
397,381,3
585,88,3
414,413,3
29,281,3
624,170,3
165,535,3
235,96,3
366,372,3
524,324,3
156,99,3
285,464,3
414,353,3
155,24,3
398,547,3
7,583,3
455,114,3
309,623,3
242,690,3
397,173,3
364,538,3
644,42,3
128,8,3
585,589,3
463,69,3
102,441,3
381,384,3
484,267,3
23,140,3
289,7,3
394,163,3
109,152,3
10,523,3
346,630,3
548,533,3
383,601,3
159,206,3
253,183,3
655,296,3
486,345,3
666,648,3
266,258,3
327,35,3
29,353,3
5,49,3
410,664,3
478,618,3
322,521,3
353,374,3
99,257,3
108,632,3
97,202,3
654,76,3
24,693,3
473,518,3
334,107,3
557,225,3
136,292,3
606,10,3
